Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,CPU Usage %,Memory Usage MB,Threat Score,Threat Level,Defense Action,Is Anomaly
ISSUE-0801,KEY-0801,Critical Issues Not Detected in Last Penetration Test,1,Penetration Testing Effectiveness,High,In Progress,Reporter 9,Assignee 2,2024-03-01 09:00:00,2025-12-01 04:52:05.816519,119,10,Critical,Sales,Steps to resolve Critical Issues Not Detected in Last Penetration Test,87231.72242683306,KPI,User_75,2024-03-01 13:19:00,data_modification,IN,JP,9266,144,90.54227825178205,5841.319072425433,94.9046822910152,103537.1859361186,7.5,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0802,KEY-0802,Newly Discovered Vulnerabilities in Core Systems,1,System Vulnerability,High,Closed,Reporter 2,Assignee 1,2024-12-23 05:36:00,2025-03-07 05:36:00.000000,74,10,Critical,External Contractors,Steps to resolve Newly Discovered Vulnerabilities in Core Systems,48900.874798209275,KPI,User_73,2024-12-24 03:46:00,data_modification,Unknown,DE,1958,85,26.722617638040024,49.5557663450581,65.51148223841363,24965.268186847567,7.1499999999999995,High,Restrict User Activity & Monitor Logs | Lock Account & Alert,1
ISSUE-0803,KEY-0803,Unassessed High-Risk Areas,1,Risk Assessment Coverage,High,Closed,Reporter 6,Assignee 20,2025-05-03 22:50:00,2025-09-22 22:50:00.000000,142,10,Critical,Sales,Steps to resolve Unassessed High-Risk Areas,86642.08588650223,KPI,User_16,2025-05-04 02:20:00,login,UK,JP,376,48,78.80545113229954,46.04323244990676,80.8408605521844,7921.842469549338,6.999999999999999,Medium,Schedule Investigation,1
ISSUE-0804,KEY-0804,Targeted Phishing Campaign Against Executives,1,Phishing Attack,Critical,Open,Reporter 9,Assignee 2,2024-01-07 01:41:00,2026-05-20 04:52:05.816519,356,10,Critical,Operations,Steps to resolve Targeted Phishing Campaign Against Executives,143922.97291205986,KRI,User_5,2024-01-07 16:54:00,login,UK,DE,2535,28,60.2016167988431,66.36993199804438,86.43180156457356,34763.327447177,7.9,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,1
ISSUE-0805,KEY-0805,Sudden Increase in Unfiltered Traffic,1,Network Security,High,Closed,Reporter 5,Assignee 5,2023-09-28 06:04:00,2023-12-13 06:04:00.000000,76,10,Critical,Operations,Steps to resolve Sudden Increase in Unfiltered Traffic,82758.87962495808,KPI,User_93,2023-09-28 22:42:00,data_modification,CANADA,EU,6535,118,66.93310717290596,459.48580806837674,100.0,69802.96356254924,7.5,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0806,KEY-0806,Critical Issues Not Detected in Last Penetration Test,1,Penetration Testing Effectiveness,High,Closed,Reporter 2,Assignee 4,2024-09-30 16:34:00,2024-12-04 16:34:00.000000,65,10,Critical,Sales,Steps to resolve Critical Issues Not Detected in Last Penetration Test,95124.30011096213,KPI,User_64,2024-09-30 17:19:00,data_modification,EU,CN,550,114,63.32334326845451,1037.7612461184353,71.73205241482674,14693.34525492888,7.35,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0807,KEY-0807,Weak Access Controls on Critical Cloud Resources,1,Cloud Security Posture,Medium,Closed,Reporter 2,Assignee 16,2024-01-03 19:44:00,2024-03-07 19:44:00.000000,64,10,Critical,IT,Steps to resolve Weak Access Controls on Critical Cloud Resources,60467.17568061783,KRI,User_49,2024-01-03 20:58:00,login,AU,CANADA,64,42,86.72080958098243,1573.5830002976745,50.14459532554578,7787.808062468257,6.3,Medium,Routine Monitoring | Limit Data Transfer,1
ISSUE-0808,KEY-0808,Ineffective Access Controls in High-Sensitivity Areas,1,Control Effectiveness,Critical,Open,Reporter 2,Assignee 11,2025-05-24 04:13:00,2026-03-06 04:52:05.816519,146,10,Critical,Finance,Steps to resolve Ineffective Access Controls in High-Sensitivity Areas,148432.89934023793,KPI,User_76,2025-05-25 01:35:00,login,USA,JP,77,23,42.546301444176734,698.9827900163694,93.56241800446745,9955.830784980908,7.85,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0809,KEY-0809,High Frequency of Policy Violations,1,Management Oversight,Medium,In Progress,Reporter 6,Assignee 20,2024-03-08 08:51:00,2025-12-10 04:52:05.816519,120,10,Critical,Sales,Steps to resolve High Frequency of Policy Violations,59556.2133724615,KPI,User_61,2024-03-08 14:26:00,data_modification,USA,CANADA,2497,87,44.48102111752371,7.387927418888932,52.18470721487401,31166.67260714128,6.25,Medium,Routine Monitoring,1
ISSUE-0810,KEY-0810,Significant Number of Untracked Devices,1,Asset Inventory Accuracy,Critical,In Progress,Reporter 6,Assignee 20,2025-09-26 00:40:00,2026-05-26 04:52:05.816519,148,10,Critical,Legal,Steps to resolve Significant Number of Untracked Devices,70925.14535806119,KPI,User_64,2025-09-26 00:48:00,file_access,JP,AU,21503,139,43.92638497714331,618.1089756155873,100.0,221879.86534909203,8.0,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0811,KEY-0811,Unanticipated Increase in Risk Exposure,1,Risk Exposure,Critical,Open,Reporter 3,Assignee 12,2023-12-03 05:06:00,2025-12-20 04:52:05.816519,93,10,Critical,HR,Steps to resolve Unanticipated Increase in Risk Exposure,94258.96837758707,KRI,User_20,2023-12-04 04:45:00,data_modification,AU,FR,2490,140,63.27011634589614,5557.883442487649,83.87696092363005,30754.8967594717,7.85,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0812,KEY-0812,Weak Access Controls on Critical Cloud Resources,1,Cloud Security Posture,Critical,In Progress,Reporter 10,Assignee 19,2023-09-08 01:18:00,2026-03-06 04:52:05.816519,388,10,Critical,External Contractors,Steps to resolve Weak Access Controls on Critical Cloud Resources,88048.86561528851,KRI,User_57,2023-09-08 07:33:00,data_modification,EU,IN,1451,151,55.2905050599334,52.992243216184626,63.60988153007643,22866.904204083403,7.75,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,1
ISSUE-0813,KEY-0813,Multiple Unauthorized Access Attempts Detected,1,Access Control,Medium,Open,Reporter 6,Assignee 3,2024-09-29 21:57:00,2026-04-01 04:52:05.816519,48,10,Critical,Sales,Steps to resolve Multiple Unauthorized Access Attempts Detected,61287.90533914828,KPI,User_16,2024-09-30 19:30:00,login,AU,EU,574,41,90.80545113229954,132.47876208999452,61.0760605605895,11817.460509240778,6.6,Medium,Routine Monitoring | Limit Data Transfer,1
ISSUE-0814,KEY-0814,Lack of Updated Risk Management Procedures,1,Risk Management Maturity,Medium,In Progress,Reporter 3,Assignee 11,2023-12-23 10:00:00,2026-04-28 04:52:05.816519,71,10,Critical,IT,Steps to resolve Lack of Updated Risk Management Procedures,60000.9971114727,KPI,User_96,2023-12-24 02:16:00,file_access,Unknown,EU,2561,177,59.44564146055221,37.195716222204005,67.85930917637809,38527.80462419764,6.3999999999999995,Medium,Routine Monitoring,1
ISSUE-0815,KEY-0815,Malware Detected in Core System Components,1,Malware,Critical,Open,Reporter 9,Assignee 13,2023-07-26 23:52:00,2026-02-01 04:52:05.816519,132,10,Critical,Finance,Steps to resolve Malware Detected in Core System Components,294049.94130965,KRI,User_3,2023-07-27 11:47:00,data_modification,USA,DE,1458,105,64.71314156032878,831.1655307295309,74.0292664279443,21186.99307082918,7.85,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0816,KEY-0816,Unassessed High-Risk Areas,1,Risk Assessment Coverage,Medium,Closed,Reporter 3,Assignee 17,2025-07-27 01:43:00,2025-09-06 01:43:00.000000,41,10,Critical,C-Suite Executives,Steps to resolve Unassessed High-Risk Areas,53220.60454671268,KPI,User_36,2025-07-27 13:32:00,login,CANADA,UK,186,24,40.62448773024729,1.0,55.38454912722522,7722.630557153592,6.1,Medium,Routine Monitoring,1
ISSUE-0817,KEY-0817,Significant Number of Untracked Devices,1,Asset Inventory Accuracy,Critical,Closed,Reporter 3,Assignee 20,2025-04-11 02:40:00,2025-04-24 02:40:00.000000,13,10,Critical,External Contractors,Steps to resolve Significant Number of Untracked Devices,89135.64102832113,KPI,User_61,2025-04-11 02:57:00,file_access,Unknown,CN,3016,117,34.26451633547366,39.82684609170571,100.0,34651.81012952731,7.8,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,1
ISSUE-0818,KEY-0818,Unusual Data Transfer Volumes Detected,1,Data Breach,Critical,Closed,Reporter 5,Assignee 1,2023-11-26 00:28:00,2023-12-29 00:28:00.000000,33,10,Critical,Finance,Steps to resolve Unusual Data Transfer Volumes Detected,394434.6843512479,KRI,User_60,2023-11-26 04:48:00,file_access,EU,JP,51,141,88.03538281780108,1134.8245598625608,68.50299190778497,13218.031796675665,7.85,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0819,KEY-0819,Unanticipated Increase in Risk Exposure,1,Risk Exposure,High,In Progress,Reporter 4,Assignee 10,2024-07-21 23:37:00,2026-04-27 04:52:05.816519,264,10,Critical,Finance,Steps to resolve Unanticipated Increase in Risk Exposure,90591.60879303352,KRI,User_31,2024-07-22 20:24:00,data_modification,Unknown,EU,43,116,63.584625274964154,3240.687711976453,58.053012492900734,7593.470710334847,7.05,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0820,KEY-0820,Supplier Network Breach Exposure,1,Procurement Security,Critical,In Progress,Reporter 6,Assignee 3,2024-06-28 02:53:00,2026-05-17 04:52:05.816519,156,10,Critical,Sales,Steps to resolve Supplier Network Breach Exposure,158780.8273552643,KPI,User_46,2024-06-28 16:13:00,data_modification,UK,JP,853,67,42.48580979587643,771.441101788777,52.623295059798195,15365.648594354152,7.7,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0821,KEY-0821,Unassessed High-Risk Areas,1,Risk Assessment Coverage,High,Closed,Reporter 3,Assignee 10,2025-07-01 08:42:00,2025-07-14 08:42:00.000000,13,10,Critical,HR,Steps to resolve Unassessed High-Risk Areas,57235.396798336355,KPI,User_35,2025-07-01 13:30:00,login,CN,DE,168,27,47.54562320075242,273.6048592947011,32.50420486786218,8601.151602544534,7.05,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0822,KEY-0822,Targeted Phishing Campaign Against Executives,1,Phishing Attack,Critical,In Progress,Reporter 10,Assignee 2,2025-02-21 02:10:00,2025-12-09 04:52:05.816519,414,10,Critical,Legal,Steps to resolve Targeted Phishing Campaign Against Executives,63884.81150987772,KRI,User_74,2025-02-21 08:37:00,file_access,CANADA,UK,1164,84,24.194011132246615,530.5887834745042,64.38100615861596,16567.980563356126,7.85,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0823,KEY-0823,Unanticipated Increase in Risk Exposure,1,Risk Exposure,Critical,In Progress,Reporter 5,Assignee 2,2023-09-04 21:41:00,2025-11-28 04:52:05.816519,360,10,Critical,External Contractors,Steps to resolve Unanticipated Increase in Risk Exposure,90720.21093357021,KRI,User_10,2023-09-04 23:46:00,data_modification,UK,FR,4252,173,43.23742611942706,1334.231715895735,83.22218031539948,54080.02222692877,7.85,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0824,KEY-0824,Newly Discovered Vulnerabilities in Core Systems,1,System Vulnerability,Medium,Open,Reporter 7,Assignee 10,2025-07-04 08:14:00,2026-01-29 04:52:05.816519,15,10,Critical,IT,Steps to resolve Newly Discovered Vulnerabilities in Core Systems,61701.487307733456,KPI,User_99,2025-07-04 10:47:00,login,IN,CN,1242,27,37.873226479810334,13.370295129386907,73.48102709658276,19422.304866619663,6.3999999999999995,Medium,Routine Monitoring,1
ISSUE-0825,KEY-0825,Significant Number of Untracked Devices,1,Asset Inventory Accuracy,Critical,Closed,Reporter 5,Assignee 11,2025-07-30 06:02:00,2026-01-05 06:02:00.000000,159,10,Critical,Operations,Steps to resolve Significant Number of Untracked Devices,153495.89015217495,KPI,User_24,2025-07-30 21:30:00,data_modification,EU,AU,2949,145,70.3520400622477,14436.59659526838,49.75447268202471,41058.27168852082,7.7,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0826,KEY-0826,Sudden Increase in Unfiltered Traffic,1,Network Security,High,Open,Reporter 4,Assignee 11,2025-02-22 04:45:00,2026-05-22 04:52:05.816519,274,10,Critical,Finance,Steps to resolve Sudden Increase in Unfiltered Traffic,92928.21699781998,KPI,User_25,2025-02-22 05:49:00,file_access,JP,Unknown,5287,111,57.44277152800463,208.75469179617863,81.75670702135321,60672.59458590624,7.35,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0827,KEY-0827,Supplier Network Breach Exposure,1,Procurement Security,Critical,In Progress,Reporter 3,Assignee 6,2024-06-08 12:09:00,2026-02-19 04:52:05.816519,141,10,Critical,C-Suite Executives,Steps to resolve Supplier Network Breach Exposure,144013.55159584997,KPI,User_20,2024-06-09 06:04:00,file_access,UK,Unknown,3651,138,79.42294761042845,796.2338106028872,49.73601399387045,46348.36276720866,7.7,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0828,KEY-0828,Unusual Data Transfer Volumes Detected,1,Data Breach,Critical,Open,Reporter 6,Assignee 18,2023-01-26 20:38:00,2026-01-03 04:52:05.816519,53,10,Critical,Finance,Steps to resolve Unusual Data Transfer Volumes Detected,393247.0899623583,KRI,User_29,2023-01-27 17:08:00,data_modification,JP,CN,3166,113,79.58698283947696,836.5708376938983,72.26000025419864,37988.70041483827,7.85,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0829,KEY-0829,Potential Non-Compliance Detected in Sensitive Data Handling,1,Legal Compliance,Critical,Resolved,Reporter 3,Assignee 13,2023-07-07 14:31:00,2023-10-26 14:31:00.000000,111,10,Critical,C-Suite Executives,Steps to resolve Potential Non-Compliance Detected in Sensitive Data Handling,138771.55034500215,KRI,User_97,2023-07-08 01:37:00,file_access,Unknown,UK,1274,96,64.30920143525907,3186.3966304749547,82.41532579288395,22740.788211462434,7.85,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0830,KEY-0830,Targeted Phishing Campaign Against Executives,1,Phishing Attack,Critical,Resolved,Reporter 3,Assignee 11,2025-09-09 23:39:00,2025-11-09 23:39:00.000000,61,10,Critical,Finance,Steps to resolve Targeted Phishing Campaign Against Executives,149684.81782293864,KRI,User_11,2025-09-10 08:52:00,data_modification,Unknown,AU,94,91,65.8479008648947,8706.90890315731,60.11044945992593,9116.781693976609,7.699999999999999,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0831,KEY-0831,Critical Issues Not Detected in Last Penetration Test,1,Penetration Testing Effectiveness,Critical,Open,Reporter 8,Assignee 4,2024-09-17 11:52:00,2026-03-12 04:52:05.816519,12,10,Critical,External Contractors,Steps to resolve Critical Issues Not Detected in Last Penetration Test,80736.74489172515,KPI,User_74,2024-09-17 15:18:00,file_access,CN,USA,619,97,20.69284029862635,447.7405025461046,66.3628725083897,15500.705997277284,7.85,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0832,KEY-0832,Spike in Unauthorized Access Attempts,1,Unauthorized Access,Medium,Closed,Reporter 1,Assignee 16,2024-05-15 11:24:00,2024-09-25 11:24:00.000000,133,10,Critical,HR,Steps to resolve Spike in Unauthorized Access Attempts,97213.45905895687,KRI,User_44,2024-05-16 09:12:00,data_modification,JP,Unknown,2620,152,62.860612486720356,931.7481176094307,60.20531535617525,37227.342485883295,6.6,Medium,Routine Monitoring | Limit Data Transfer,1
ISSUE-0833,KEY-0833,Sudden Increase in Unfiltered Traffic,1,Network Security,High,In Progress,Reporter 1,Assignee 1,2025-09-19 18:36:00,2026-05-08 04:52:05.816519,104,10,Critical,Finance,Steps to resolve Sudden Increase in Unfiltered Traffic,95833.09643985446,KPI,User_59,2025-09-20 09:30:00,file_access,AU,IN,309,162,85.80615366045487,33.839997284824065,60.30295210897966,10738.97128892856,7.1499999999999995,High,Restrict User Activity & Monitor Logs | Lock Account & Alert,1
ISSUE-0834,KEY-0834,Unusual Data Access from External Locations,1,Data Leak,High,Open,Reporter 7,Assignee 8,2024-01-03 23:47:00,2026-02-21 04:52:05.816519,173,10,Critical,IT,Steps to resolve Unusual Data Access from External Locations,77183.94648210058,KRI,User_53,2024-01-04 00:39:00,login,USA,EU,168,41,75.13991737333984,12.67280089337708,61.59024623357087,9053.674641225492,6.999999999999999,Medium,Schedule Investigation,1
ISSUE-0835,KEY-0835,Spike in Unauthorized Access Attempts,1,Unauthorized Access,Low,Open,Reporter 10,Assignee 3,2024-12-09 14:43:00,2026-01-16 04:52:05.816519,156,10,Critical,HR,Steps to resolve Spike in Unauthorized Access Attempts,63777.960804254275,KRI,User_78,2024-12-09 23:52:00,file_access,JP,CN,617,88,43.53083177401281,27.406706879978696,61.52359185877339,13762.178046355757,5.6499999999999995,Medium,Log Activity for Reference,1
ISSUE-0836,KEY-0836,High Frequency of Policy Violations,1,Management Oversight,Low,Resolved,Reporter 10,Assignee 14,2023-02-16 06:39:00,2023-03-14 06:39:00.000000,26,10,Critical,HR,Steps to resolve High Frequency of Policy Violations,26201.543201888067,KPI,User_25,2023-02-16 20:18:00,data_modification,DE,JP,810,116,44.96318487333002,988.0486600462373,100.0,16843.284729536557,6.0,Medium,Log Activity for Reference | Limit Data Transfer,1
ISSUE-0837,KEY-0837,Significant Number of Untracked Devices,1,Asset Inventory Accuracy,Low,Resolved,Reporter 10,Assignee 10,2024-07-15 00:31:00,2024-10-04 00:31:00.000000,81,10,Critical,Operations,Steps to resolve Significant Number of Untracked Devices,49059.14126430749,KPI,User_93,2024-07-15 07:29:00,file_access,USA,DE,3237,138,55.93310717290596,100.04903387696446,58.857701741165656,45238.644398461525,5.7,Medium,Log Activity for Reference | Limit Data Transfer,1
ISSUE-0838,KEY-0838,Critical Issues Not Detected in Last Penetration Test,1,Penetration Testing Effectiveness,Critical,Open,Reporter 1,Assignee 15,2024-08-14 08:52:00,2026-04-22 04:52:05.816519,38,10,Critical,Operations,Steps to resolve Critical Issues Not Detected in Last Penetration Test,158912.9512615298,KPI,User_5,2024-08-14 12:43:00,file_access,Unknown,CANADA,326,147,68.2016167988431,386.5949260429464,53.62362845949168,9208.909218345561,7.55,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0839,KEY-0839,Targeted Phishing Campaign Against Executives,1,Phishing Attack,High,Resolved,Reporter 4,Assignee 18,2025-08-22 04:45:00,2026-01-21 04:45:00.000000,152,10,Critical,External Contractors,Steps to resolve Targeted Phishing Campaign Against Executives,55676.77766110998,KRI,User_73,2025-08-22 17:58:00,file_access,USA,FR,1065,100,27.722617638040024,759.6319229593337,52.67089334431657,19323.708463567476,7.2,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0840,KEY-0840,Significant Number of Untracked Devices,1,Asset Inventory Accuracy,Critical,Closed,Reporter 4,Assignee 13,2025-08-12 06:53:00,2025-08-13 06:53:00.000000,1,10,Critical,Sales,Steps to resolve Significant Number of Untracked Devices,154845.599589125,KPI,User_40,2025-08-13 03:09:00,login,AU,FR,3320,34,80.14645947153579,1433.4709979989539,53.553590417849975,40267.60512060655,7.3,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0841,KEY-0841,Ineffective Access Controls in High-Sensitivity Areas,1,Control Effectiveness,Critical,Closed,Reporter 6,Assignee 17,2025-04-10 04:54:00,2025-11-13 04:54:00.000000,217,10,Critical,C-Suite Executives,Steps to resolve Ineffective Access Controls in High-Sensitivity Areas,149383.83266621165,KPI,User_95,2025-04-11 00:14:00,data_modification,CN,CANADA,16146,124,79.04483401577109,1576.2275665015645,100.0,170566.00481892825,8.0,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0842,KEY-0842,Newly Discovered Vulnerabilities in Core Systems,1,System Vulnerability,Critical,In Progress,Reporter 9,Assignee 18,2025-09-03 01:45:00,2026-05-11 04:52:05.816519,142,10,Critical,Finance,Steps to resolve Newly Discovered Vulnerabilities in Core Systems,144383.75784566248,KPI,User_44,2025-09-03 08:07:00,data_modification,UK,USA,4134,127,75.92121101118856,179.59720275680172,79.14487947688893,45530.39885449679,7.85,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0843,KEY-0843,Unusual Data Transfer Volumes Detected,1,Data Breach,High,Closed,Reporter 9,Assignee 10,2024-01-18 23:43:00,2024-04-16 23:43:00.000000,89,10,Critical,HR,Steps to resolve Unusual Data Transfer Volumes Detected,144848.92440177657,KRI,User_11,2024-01-19 07:07:00,file_access,FR,IN,3116,126,43.91336204721412,490.02688493749446,60.91384091554494,36829.3352257262,7.35,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0844,KEY-0844,Unanticipated Increase in Risk Exposure,1,Risk Exposure,Critical,Closed,Reporter 8,Assignee 13,2023-06-01 10:08:00,2023-07-21 10:08:00.000000,50,10,Critical,Legal,Steps to resolve Unanticipated Increase in Risk Exposure,67612.1306387437,KRI,User_15,2023-06-02 04:31:00,file_access,AU,DE,3052,118,44.802156032114546,323.4976689707313,65.2578264724319,39656.60934796495,7.85,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0845,KEY-0845,Targeted Phishing Campaign Against Executives,1,Phishing Attack,High,In Progress,Reporter 9,Assignee 11,2025-02-17 11:04:00,2025-12-03 04:52:05.816519,142,10,Critical,External Contractors,Steps to resolve Targeted Phishing Campaign Against Executives,52677.295830337156,KRI,User_60,2025-02-18 00:40:00,file_access,DE,IN,504,184,53.76843619547587,658.2771249751413,68.12250400563704,13017.580942895856,7.35,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0846,KEY-0846,Unanticipated Increase in Risk Exposure,1,Risk Exposure,High,Closed,Reporter 4,Assignee 9,2024-03-03 06:34:00,2024-03-04 06:34:00.000000,1,10,Critical,Operations,Steps to resolve Unanticipated Increase in Risk Exposure,90920.55147734453,KRI,User_93,2024-03-04 00:49:00,file_access,IN,EU,1497,153,68.93310717290596,3295.0401351004757,83.04138150341316,23499.441687174476,6.949999999999999,Medium,Schedule Investigation | Limit Data Transfer,1
ISSUE-0847,KEY-0847,Ineffective Access Controls in High-Sensitivity Areas,1,Control Effectiveness,Medium,Closed,Reporter 6,Assignee 8,2023-05-02 08:57:00,2023-07-13 08:57:00.000000,72,10,Critical,Legal,Steps to resolve Ineffective Access Controls in High-Sensitivity Areas,20167.519274693856,KPI,User_90,2023-05-03 03:24:00,data_modification,EU,AU,15991,163,55.415892460171456,427.6799475388498,100.0,167629.05299530586,6.75,Medium,Routine Monitoring | Limit Data Transfer,1
ISSUE-0848,KEY-0848,Potential Non-Compliance Detected in Sensitive Data Handling,1,Legal Compliance,Critical,In Progress,Reporter 10,Assignee 1,2025-09-04 05:24:00,2026-02-16 04:52:05.816519,219,10,Critical,Finance,Steps to resolve Potential Non-Compliance Detected in Sensitive Data Handling,150165.0661958178,KRI,User_44,2025-09-04 11:49:00,file_access,DE,UK,2025,140,69.92121101118856,4468.6993854179855,100.0,27831.69901545901,8.0,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0849,KEY-0849,Significant Number of Untracked Devices,1,Asset Inventory Accuracy,High,Closed,Reporter 5,Assignee 6,2024-12-16 04:51:00,2025-01-26 04:51:00.000000,41,10,Critical,Operations,Steps to resolve Significant Number of Untracked Devices,98340.14455170733,KPI,User_50,2024-12-16 09:23:00,file_access,EU,UK,1094,190,76.2136744343892,135.6587639731638,83.17276822203435,16972.99313679718,7.35,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,1
