Issue Name,CPU Usage %,Defense Action,Threat Level,Issue Key,Threat Score,Remediation Steps,Issue Volume,Risk Level,Status,Session Duration in Second,Impact Score,Date Resolved,Memory Usage MB,Assignees,Data Transfer MB,User ID,Timestamps,Issue Response Time Days,KPI/KRI,Issue ID,Category,IP Location,Reporters,Num Files Accessed,Department Affected,Is Anomaly,Cost,Severity,User Location,Date Reported,Login Attempts,Activity Type
Supplier Network Breach Exposure,34.88132655384478,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0900,7.2,Steps to resolve Supplier Network Breach Exposure,1,Critical,In Progress,767,10,2026-05-19 22:27:57.042371,13405.699445975704,Assignee 18,923.6389742583825,User_53,2024-05-06 02:52:00,179,KPI,ISSUE-0900,Procurement Security,CANADA,Reporter 2,68,Legal,1,43303.813170558264,High,AU,2024-05-05 04:09:00,24.07771438312511,file_access
High Frequency of Policy Violations,100.0,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0901,7.5,Steps to resolve High Frequency of Policy Violations,1,Critical,Closed,17359,10,2025-05-20 17:02:00.000000,183079.87895600445,Assignee 10,3561.213911398413,User_55,2025-03-03 00:55:00,79,KPI,ISSUE-0901,Management Oversight,Unknown,Reporter 6,130,C-Suite Executives,1,76785.80492208863,High,FR,2025-03-02 17:02:00,63.246465028715704,data_modification
Spike in Unauthorized Access Attempts,62.720809569123304,Restrict User Activity & Monitor Logs | Lock Account & Alert,High,KEY-0902,7.25,Steps to resolve Spike in Unauthorized Access Attempts,1,Critical,Resolved,1696,10,2023-07-12 06:05:00.000000,27849.616995761055,Assignee 16,97.27784847650486,User_32,2023-04-25 01:51:00,79,KRI,ISSUE-0902,Unauthorized Access,Unknown,Reporter 8,154,HR,1,204694.9771687301,High,CANADA,2023-04-24 06:05:00,67.66027225346488,file_access
Targeted Phishing Campaign Against Executives,46.27682497276766,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0903,7.7,Steps to resolve Targeted Phishing Campaign Against Executives,1,Critical,Open,6812,10,2026-03-07 22:27:57.042371,75251.58387805942,Assignee 15,3925.721373329764,User_81,2023-05-25 15:41:00,331,KRI,ISSUE-0903,Phishing Attack,USA,Reporter 7,106,External Contractors,1,94249.77537863262,Critical,IN,2023-05-25 02:15:00,51.686141444383026,data_modification
Newly Discovered Vulnerabilities in Core Systems,65.5876662114216,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0904,7.499999999999999,Steps to resolve Newly Discovered Vulnerabilities in Core Systems,1,Critical,Resolved,244,10,2023-10-29 13:57:00.000000,8912.33527410692,Assignee 7,5.806618553561522,User_51,2023-08-08 00:31:00,83,KPI,ISSUE-0904,System Vulnerability,USA,Reporter 8,76,External Contractors,1,90843.12033004747,Critical,IN,2023-08-07 13:57:00,19.54449619272799,file_access
Spike in Unauthorized Access Attempts,70.24182116993859,Schedule Investigation,Medium,KEY-0905,6.999999999999999,Steps to resolve Spike in Unauthorized Access Attempts,1,Critical,In Progress,8,10,2025-12-28 22:27:57.042371,8012.699036783894,Assignee 17,30.669803248613466,User_39,2023-06-23 12:48:00,91,KRI,ISSUE-0905,Unauthorized Access,JP,Reporter 7,31,Legal,1,95204.93200378597,High,AU,2023-06-23 00:32:00,43.409483596168585,login
Unusual Data Access from External Locations,86.9221115111012,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0906,8.0,Steps to resolve Unusual Data Access from External Locations,1,Critical,In Progress,8761,10,2026-03-06 22:27:57.042371,94690.14426154281,Assignee 2,1720.496512816666,User_98,2023-11-19 03:07:00,205,KRI,ISSUE-0906,Data Leak,USA,Reporter 4,151,Operations,1,62225.14199334867,Critical,DE,2023-11-18 06:36:00,47.039714015515,data_modification
Supplier Network Breach Exposure,50.82698155836976,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0907,7.2,Steps to resolve Supplier Network Breach Exposure,1,Critical,Closed,222,10,2025-07-22 05:05:00.000000,10933.986685184664,Assignee 10,717.0874118410438,User_37,2025-04-23 11:42:00,90,KPI,ISSUE-0907,Procurement Security,EU,Reporter 5,77,Sales,1,97756.79564068773,High,Unknown,2025-04-23 05:05:00,75.20140827911139,data_modification
Unassessed High-Risk Areas,53.976936828352585,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0908,7.5,Steps to resolve Unassessed High-Risk Areas,1,Critical,In Progress,532,10,2025-12-26 22:27:57.042371,15374.052500984231,Assignee 15,6.56673630107357,User_25,2024-06-03 22:22:00,294,KPI,ISSUE-0908,Risk Assessment Coverage,CANADA,Reporter 4,15,Sales,1,164181.66329808792,Critical,EU,2024-06-02 23:05:00,38.98408353904741,login
Sudden Increase in Unfiltered Traffic,55.77686961079776,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0909,7.6000000000000005,Steps to resolve Sudden Increase in Unfiltered Traffic,1,Critical,Resolved,1133,10,2024-08-31 18:32:00.000000,19228.56386774864,Assignee 7,56.696502541414304,User_2,2024-03-09 23:05:00,175,KPI,ISSUE-0909,Network Security,JP,Reporter 6,42,IT,1,69032.70679160845,Critical,AU,2024-03-09 18:32:00,50.64464851274079,login
Significant Number of Untracked Devices,57.26520144871273,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0910,7.7,Steps to resolve Significant Number of Untracked Devices,1,Critical,Open,732,10,2026-05-20 22:27:57.042371,17472.538333544828,Assignee 2,639.1732020055672,User_99,2024-03-21 02:46:00,27,KPI,ISSUE-0910,Asset Inventory Accuracy,Unknown,Reporter 3,164,Legal,1,84835.05275603478,Critical,UK,2024-03-21 00:14:00,64.5176875355105,file_access
Weak Access Controls on Critical Cloud Resources,62.089717986959926,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0911,7.199999999999999,Steps to resolve Weak Access Controls on Critical Cloud Resources,1,Critical,Resolved,46,10,2025-03-27 20:07:00.000000,8343.082403322365,Assignee 3,407.5660662105829,User_74,2025-02-08 11:58:00,48,KRI,ISSUE-0911,Cloud Security Posture,FR,Reporter 9,131,Operations,1,25869.67740093722,High,CN,2025-02-07 20:07:00,53.77111774673375,file_access
Significant Number of Untracked Devices,100.0,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0912,7.5,Steps to resolve Significant Number of Untracked Devices,1,Critical,Closed,6556,10,2025-01-15 09:40:00.000000,71689.37237031845,Assignee 14,7555.337029940641,User_1,2024-10-29 07:18:00,79,KPI,ISSUE-0912,Asset Inventory Accuracy,CANADA,Reporter 3,153,Operations,1,26850.536190322848,High,IN,2024-10-28 09:40:00,38.41559840206665,data_modification
Ineffective Access Controls in High-Sensitivity Areas,82.78486611037519,Routine Monitoring,Medium,KEY-0913,6.5,Steps to resolve Ineffective Access Controls in High-Sensitivity Areas,1,Critical,Closed,3368,10,2023-06-18 20:00:00.000000,43042.89118080438,Assignee 5,62.10474290833542,User_66,2023-04-29 11:44:00,51,KPI,ISSUE-0913,Control Effectiveness,Unknown,Reporter 4,190,Operations,1,25415.049208031807,Medium,UK,2023-04-28 20:00:00,33.43564276012275,file_access
Lack of Updated Risk Management Procedures,52.34756651957436,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0914,7.7,Steps to resolve Lack of Updated Risk Management Procedures,1,Critical,Open,400,10,2026-01-27 22:27:57.042371,12378.194187041545,Assignee 10,435.14738180460864,User_36,2025-03-15 12:51:00,147,KPI,ISSUE-0914,Risk Management Maturity,JP,Reporter 7,29,External Contractors,1,93996.2046697464,Critical,FR,2025-03-15 00:49:00,43.943959099387406,login
Targeted Phishing Campaign Against Executives,78.49219759526116,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0915,7.85,Steps to resolve Targeted Phishing Campaign Against Executives,1,Critical,Resolved,5424,10,2024-03-02 12:03:00.000000,58721.309501151634,Assignee 3,1724.5967384388537,User_78,2023-11-17 23:00:00,106,KRI,ISSUE-0915,Phishing Attack,CANADA,Reporter 7,144,Finance,1,159461.9863441399,Critical,UK,2023-11-17 12:03:00,77.17163155433714,file_access
Lack of Updated Risk Management Procedures,68.8011952189917,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0916,7.35,Steps to resolve Lack of Updated Risk Management Procedures,1,Critical,In Progress,1837,10,2025-12-14 22:27:57.042371,27117.92688852127,Assignee 19,2415.092635672765,User_68,2024-01-06 16:06:00,120,KPI,ISSUE-0916,Risk Management Maturity,Unknown,Reporter 6,197,Finance,1,95675.3786682984,High,AU,2024-01-05 23:55:00,79.33662229761528,file_access
Spike in Unauthorized Access Attempts,54.574380850548444,Routine Monitoring | Limit Data Transfer,Medium,KEY-0917,6.45,Steps to resolve Spike in Unauthorized Access Attempts,1,Critical,In Progress,934,10,2025-12-10 22:27:57.042371,17182.12277697475,Assignee 9,2259.602432286892,User_26,2023-02-22 16:09:00,74,KRI,ISSUE-0917,Unauthorized Access,CANADA,Reporter 9,71,Sales,1,149838.57138108934,Medium,UK,2023-02-22 01:28:00,56.170675058574545,data_modification
Sudden Increase in Unfiltered Traffic,49.486707820300765,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0918,7.6000000000000005,Steps to resolve Sudden Increase in Unfiltered Traffic,1,Critical,Closed,744,10,2026-02-22 20:06:00.000000,13958.954072481722,Assignee 10,53.019353237864586,User_49,2025-08-10 14:50:00,197,KPI,ISSUE-0918,Network Security,CN,Reporter 6,121,Sales,1,164839.12461875874,Critical,IN,2025-08-09 20:06:00,76.67506278301107,file_access
Targeted Phishing Campaign Against Executives,86.22351076769507,Routine Monitoring | Limit Data Transfer,Medium,KEY-0919,6.75,Steps to resolve Targeted Phishing Campaign Against Executives,1,Critical,Closed,3855,10,2023-09-16 23:16:00.000000,44543.2804310072,Assignee 13,1025.7794854878794,User_87,2023-06-30 18:25:00,79,KRI,ISSUE-0919,Phishing Attack,DE,Reporter 9,121,Sales,1,62733.60093063896,Medium,JP,2023-06-29 23:16:00,87.49872821611206,data_modification
High Frequency of Policy Violations,60.35073303439421,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0920,7.85,Steps to resolve High Frequency of Policy Violations,1,Critical,Open,808,10,2025-12-23 22:27:57.042371,15383.77765583355,Assignee 2,115.0699951907792,User_30,2023-11-24 08:40:00,221,KPI,ISSUE-0920,Management Oversight,JP,Reporter 8,25,Legal,1,71243.08636889647,Critical,UK,2023-11-24 03:33:00,47.58141262611841,login
Potential Non-Compliance Detected in Sensitive Data Handling,71.74539703621755,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0921,7.85,Steps to resolve Potential Non-Compliance Detected in Sensitive Data Handling,1,Critical,Open,1397,10,2026-03-10 22:27:57.042371,20839.39285745433,Assignee 19,208.11703311049462,User_18,2023-07-09 19:08:00,29,KRI,ISSUE-0921,Legal Compliance,USA,Reporter 10,67,IT,1,74896.77840123583,Critical,Unknown,2023-07-09 03:25:00,47.753236864278,file_access
Critical Issues Not Detected in Last Penetration Test,50.080413252531415,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0922,7.2,Steps to resolve Critical Issues Not Detected in Last Penetration Test,1,Critical,Open,1673,10,2026-04-24 22:27:57.042371,26767.81761014474,Assignee 1,5378.39472001962,User_74,2024-01-06 06:13:00,160,KPI,ISSUE-0922,Penetration Testing Effectiveness,AU,Reporter 1,128,IT,1,38537.4921542698,High,USA,2024-01-05 07:24:00,46.451396785816,data_modification
Spike in Unauthorized Access Attempts,70.19787729940856,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0923,7.35,Steps to resolve Spike in Unauthorized Access Attempts,1,Critical,Resolved,1133,10,2025-03-15 00:26:00.000000,17727.439394816225,Assignee 6,462.8178460484422,User_22,2025-02-04 12:30:00,39,KRI,ISSUE-0923,Unauthorized Access,EU,Reporter 7,189,Operations,1,90048.16656033332,High,JP,2025-02-04 00:26:00,33.27483525665816,file_access
Supplier Network Breach Exposure,74.83120553254383,Routine Monitoring,Medium,KEY-0924,6.3999999999999995,Steps to resolve Supplier Network Breach Exposure,1,Critical,Open,2254,10,2026-03-29 22:27:57.042371,27618.595627011022,Assignee 14,14.762234625779758,User_3,2024-05-19 20:27:00,87,KPI,ISSUE-0924,Procurement Security,IN,Reporter 7,41,External Contractors,1,36394.232598306575,Medium,UK,2024-05-19 04:53:00,42.53470000325153,login
Malware Detected in Core System Components,78.42073460925583,Restrict User Activity & Monitor Logs | Lock Account & Alert,High,KEY-0925,7.1499999999999995,Steps to resolve Malware Detected in Core System Components,1,Critical,In Progress,1638,10,2026-01-17 22:27:57.042371,24065.49539998454,Assignee 12,3.177172784289242,User_46,2023-03-24 12:05:00,129,KRI,ISSUE-0925,Malware,UK,Reporter 5,26,IT,1,95379.41609344014,High,IN,2023-03-24 04:30:00,51.408120342772875,login
Weak Access Controls on Critical Cloud Resources,37.668331922177146,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0926,7.2,Steps to resolve Weak Access Controls on Critical Cloud Resources,1,Critical,In Progress,806,10,2026-03-27 22:27:57.042371,14570.65591009845,Assignee 10,226.6232601890825,User_85,2023-07-24 07:41:00,29,KRI,ISSUE-0926,Cloud Security Posture,JP,Reporter 6,63,Finance,1,89608.6864032406,High,AU,2023-07-24 05:21:00,52.45278214122277,data_modification
Weak Access Controls on Critical Cloud Resources,75.23995087691208,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0927,7.85,Steps to resolve Weak Access Controls on Critical Cloud Resources,1,Critical,Open,1962,10,2026-05-18 22:27:57.042371,24929.140849436746,Assignee 1,260.7243768281503,User_92,2024-12-06 08:55:00,391,KRI,ISSUE-0927,Cloud Security Posture,CN,Reporter 9,77,IT,1,81811.25928038635,Critical,AU,2024-12-06 04:42:00,61.62026585532792,data_modification
Critical Issues Not Detected in Last Penetration Test,79.71599762994774,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0928,7.35,Steps to resolve Critical Issues Not Detected in Last Penetration Test,1,Critical,Resolved,2841,10,2024-11-29 07:48:00.000000,36064.76015291168,Assignee 12,266.8689780605853,User_40,2024-10-02 00:42:00,59,KPI,ISSUE-0928,Penetration Testing Effectiveness,Unknown,Reporter 6,141,HR,1,83988.67761899208,High,CANADA,2024-10-01 07:48:00,72.44739318543662,data_modification
Unusual Data Transfer Volumes Detected,46.64936294099863,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0929,7.3,Steps to resolve Unusual Data Transfer Volumes Detected,1,Critical,Closed,693,10,2025-01-29 16:12:00.000000,12587.073666641645,Assignee 4,4196.52915499801,User_79,2025-01-28 20:35:00,1,KRI,ISSUE-0929,Data Breach,CN,Reporter 7,167,HR,1,400447.87457041594,Critical,DE,2025-01-28 16:12:00,71.39121407471038,file_access
Potential Non-Compliance Detected in Sensitive Data Handling,100.0,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0930,7.5,Steps to resolve Potential Non-Compliance Detected in Sensitive Data Handling,1,Critical,Closed,7422,10,2023-06-12 00:34:00.000000,81463.30002829368,Assignee 12,1262.9801820967014,User_33,2023-04-10 05:54:00,63,KRI,ISSUE-0930,Legal Compliance,Unknown,Reporter 3,166,Legal,1,38467.66392018968,High,EU,2023-04-10 00:34:00,60.01255663424029,file_access
Supplier Network Breach Exposure,52.24195761963994,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0931,7.2,Steps to resolve Supplier Network Breach Exposure,1,Critical,Closed,750,10,2025-12-13 12:00:00.000000,13195.861411571936,Assignee 17,134.60292402816128,User_34,2025-08-24 09:42:00,112,KPI,ISSUE-0931,Procurement Security,IN,Reporter 7,112,External Contractors,1,58306.74963330378,High,AU,2025-08-23 12:00:00,48.268741228664666,data_modification
Ineffective Access Controls in High-Sensitivity Areas,100.0,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0932,7.5,Steps to resolve Ineffective Access Controls in High-Sensitivity Areas,1,Critical,In Progress,9687,10,2026-03-08 22:27:57.042371,103178.55319993314,Assignee 19,3636.181425042235,User_56,2025-01-07 22:18:00,66,KPI,ISSUE-0932,Control Effectiveness,AU,Reporter 2,177,External Contractors,1,66525.06233871613,High,Unknown,2025-01-07 05:55:00,55.201273882523246,file_access
Supplier Network Breach Exposure,44.463767718668024,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0933,7.05,Steps to resolve Supplier Network Breach Exposure,1,Critical,Resolved,42,10,2025-06-20 16:04:00.000000,6361.483051840143,Assignee 6,1389.6945047493523,User_59,2025-01-03 11:09:00,169,KPI,ISSUE-0933,Procurement Security,FR,Reporter 8,32,Legal,1,42918.328730982386,High,EU,2025-01-02 16:04:00,58.93104900964951,login
High Frequency of Policy Violations,66.81691307682716,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0934,7.35,Steps to resolve High Frequency of Policy Violations,1,Critical,In Progress,1245,10,2026-01-01 22:27:57.042371,22312.074462882938,Assignee 9,293.57729532365755,User_6,2023-05-14 07:12:00,220,KPI,ISSUE-0934,Management Oversight,FR,Reporter 1,119,IT,1,34288.09785152361,High,IN,2023-05-13 22:18:00,41.237044388645316,data_modification
Malware Detected in Core System Components,78.55650551821313,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0935,7.85,Steps to resolve Malware Detected in Core System Components,1,Critical,In Progress,2512,10,2026-04-12 22:27:57.042371,31929.410673151768,Assignee 10,289.921622582476,User_31,2024-01-15 09:32:00,157,KRI,ISSUE-0935,Malware,CN,Reporter 5,141,Operations,1,128034.51231680499,Critical,Unknown,2024-01-15 03:13:00,33.12252503890336,data_modification
High-Volume Distributed Denial-of-Service Attack from Multiple Sources,62.206307636859094,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0936,7.35,Steps to resolve High-Volume Distributed Denial-of-Service Attack from Multiple Sources,1,Critical,Open,3528,10,2025-12-09 22:27:57.042371,43447.26882896438,Assignee 6,773.187916746986,User_66,2025-08-18 03:01:00,239,KRI,ISSUE-0936,DDOS,CANADA,Reporter 6,161,C-Suite Executives,1,78624.66963372164,High,DE,2025-08-17 06:28:00,78.0903829976256,file_access
Unusual Data Transfer Volumes Detected,68.49729726105393,Log Activity for Reference | Limit Data Transfer,Medium,KEY-0937,5.85,Steps to resolve Unusual Data Transfer Volumes Detected,1,Critical,Resolved,378,10,2023-04-05 00:07:00.000000,12312.229757902871,Assignee 4,150.9587656660434,User_82,2023-01-16 07:44:00,79,KRI,ISSUE-0937,Data Breach,IN,Reporter 9,134,HR,1,117684.09371873681,Low,CN,2023-01-16 00:07:00,75.04255753270658,data_modification
Unassessed High-Risk Areas,75.93350956560269,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0938,7.75,Steps to resolve Unassessed High-Risk Areas,1,Critical,Resolved,3106,10,2023-06-17 01:52:00.000000,40168.044007626086,Assignee 5,88.49912571200893,User_87,2023-02-15 06:59:00,122,KPI,ISSUE-0938,Risk Assessment Coverage,EU,Reporter 4,137,Finance,1,163092.01227741613,Critical,DE,2023-02-15 01:52:00,75.10179780344029,file_access
Unanticipated Increase in Risk Exposure,85.77055974139611,Routine Monitoring | Limit Data Transfer,Medium,KEY-0939,6.75,Steps to resolve Unanticipated Increase in Risk Exposure,1,Critical,Closed,3321,10,2023-04-04 14:15:00.000000,43312.27731273758,Assignee 3,239.7778064419211,User_83,2023-01-09 05:27:00,86,KRI,ISSUE-0939,Risk Exposure,UK,Reporter 4,158,External Contractors,1,46227.91213271262,Medium,FR,2023-01-08 14:15:00,47.3669881013617,file_access
Weak Access Controls on Critical Cloud Resources,74.06377950575623,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0940,7.35,Steps to resolve Weak Access Controls on Critical Cloud Resources,1,Critical,Closed,1307,10,2023-10-27 19:14:00.000000,23383.10197098984,Assignee 20,620.6713610084868,User_89,2023-10-17 07:02:00,11,KRI,ISSUE-0940,Cloud Security Posture,JP,Reporter 9,104,Legal,1,51559.7890576784,High,DE,2023-10-16 19:14:00,25.372806790624775,data_modification
Weak Access Controls on Critical Cloud Resources,69.00881185510333,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0941,7.449999999999999,Steps to resolve Weak Access Controls on Critical Cloud Resources,1,Critical,Resolved,1704,10,2023-03-31 15:04:00.000000,28636.40908012102,Assignee 17,364.6530829572367,User_49,2023-03-30 15:19:00,1,KRI,ISSUE-0941,Cloud Security Posture,EU,Reporter 6,101,Sales,1,169371.47481179528,Critical,IN,2023-03-30 15:04:00,57.67506278301107,data_modification
Targeted Phishing Campaign Against Executives,83.97797513857834,Routine Monitoring,Medium,KEY-0942,6.3999999999999995,Steps to resolve Targeted Phishing Campaign Against Executives,1,Critical,In Progress,418,10,2026-01-26 22:27:57.042371,11048.547276640491,Assignee 9,28.656215075528614,User_43,2025-09-02 18:51:00,114,KRI,ISSUE-0942,Phishing Attack,IN,Reporter 5,32,Operations,1,30050.304786324632,Medium,CANADA,2025-09-02 01:25:00,34.39393709076184,login
Unanticipated Increase in Risk Exposure,100.0,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0943,7.5,Steps to resolve Unanticipated Increase in Risk Exposure,1,Critical,Resolved,15851,10,2024-02-27 03:34:00.000000,168330.42897651644,Assignee 19,653.0400565612707,User_91,2023-11-25 17:51:00,94,KRI,ISSUE-0943,Risk Exposure,DE,Reporter 9,167,Operations,1,35141.74991128966,High,Unknown,2023-11-25 03:34:00,43.514618041834524,data_modification
Supplier Network Breach Exposure,79.09318051113613,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0944,7.85,Steps to resolve Supplier Network Breach Exposure,1,Critical,Open,2195,10,2026-03-22 22:27:57.042371,29421.141288068717,Assignee 4,554.7550111043394,User_37,2024-03-20 23:03:00,204,KPI,ISSUE-0944,Procurement Security,IN,Reporter 6,99,Sales,1,158780.8067874474,Critical,AU,2024-03-20 22:49:00,44.20140827911139,file_access
Unanticipated Increase in Risk Exposure,65.2128626442809,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0945,7.35,Steps to resolve Unanticipated Increase in Risk Exposure,1,Critical,Open,1675,10,2026-01-18 22:27:57.042371,25540.128455668437,Assignee 19,873.2116258488911,User_28,2023-09-20 17:30:00,202,KRI,ISSUE-0945,Risk Exposure,CANADA,Reporter 1,161,IT,1,39684.0156490829,High,EU,2023-09-20 01:01:00,49.70900280938886,data_modification
Newly Discovered Vulnerabilities in Core Systems,58.59811775396961,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0946,7.2,Steps to resolve Newly Discovered Vulnerabilities in Core Systems,1,Critical,In Progress,2343,10,2025-12-24 22:27:57.042371,31343.156889273065,Assignee 1,190.23076339713754,User_74,2025-08-27 14:30:00,260,KPI,ISSUE-0946,System Vulnerability,DE,Reporter 9,115,HR,1,82243.56007676388,High,EU,2025-08-26 14:53:00,62.27414369369783,data_modification
Unanticipated Increase in Risk Exposure,84.35775447688201,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0947,7.35,Steps to resolve Unanticipated Increase in Risk Exposure,1,Critical,Closed,3119,10,2024-08-08 23:33:00.000000,38939.14694931299,Assignee 13,1584.052451542565,User_35,2024-07-03 04:59:00,37,KRI,ISSUE-0947,Risk Exposure,CN,Reporter 4,170,Legal,1,40506.821204452484,High,DE,2024-07-02 23:33:00,49.38514579319383,file_access
Unanticipated Increase in Risk Exposure,50.78137989058051,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0948,7.6000000000000005,Steps to resolve Unanticipated Increase in Risk Exposure,1,Critical,Resolved,301,10,2023-10-12 04:16:00.000000,11148.925767007753,Assignee 13,62.79595981684811,User_26,2023-05-12 20:48:00,153,KRI,ISSUE-0948,Risk Exposure,AU,Reporter 5,20,Finance,1,173381.4093192038,Critical,DE,2023-05-12 04:16:00,41.95197579564618,login
Weak Access Controls on Critical Cloud Resources,62.31651072760624,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0949,7.85,Steps to resolve Weak Access Controls on Critical Cloud Resources,1,Critical,In Progress,450,10,2026-05-12 22:27:57.042371,13044.760505496706,Assignee 11,6008.254681091612,User_16,2023-08-06 20:41:00,402,KRI,ISSUE-0949,Cloud Security Posture,AU,Reporter 6,87,Legal,1,73025.64421718555,Critical,IN,2023-08-06 20:19:00,57.87302931457783,data_modification
